Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Screen_Time_Hours_Per_Day,GPA,Extracurricular_Hours_Per_Day,Stress_Level
1357,4.05,8.59,0.22,0.73,2.54,9.68,0.02,Moderate
1358,3.67,9.56,1.33,0.55,3.55,9.48,1.86,Low
1359,3.01,9.28,1.32,1.05,1.92,10.0,0.72,Low
1360,6.94,8.57,1.85,0.5,1.46,10.0,1.72,Low
1361,4.72,9.32,0.23,1.32,4.87,8.96,0.66,Moderate
1362,4.05,8.72,0.36,0.69,3.93,9.79,0.28,Low
1363,2.44,9.45,2.75,0.61,4.0,8.26,0.23,Moderate
1364,7.77,8.31,0.21,0.51,3.72,9.33,2.18,Low
1365,4.06,7.39,4.99,0.08,3.98,8.41,0.53,Low
1366,3.81,11.0,1.68,0.78,2.76,7.8,0.46,Low
1367,10.38,5.78,0.0,0.01,3.98,5.67,0.71,High
1368,7.22,7.05,1.72,0.19,4.79,10.0,0.41,Moderate
1369,7.76,6.0,0.69,3.79,4.61,5.03,0.38,High
1370,11.22,4.82,4.33,0.36,5.66,2.84,0.2,High
1371,8.86,7.8,0.32,1.46,2.9,9.63,0.18,Moderate
1372,3.92,10.82,1.1,0.28,0.87,8.28,0.21,Moderate
1373,6.23,7.18,1.21,0.07,5.4,9.96,0.22,Moderate
1374,5.3,8.42,1.4,2.04,3.14,10.0,1.42,Low
1375,6.2,7.98,0.08,1.33,2.31,9.34,0.02,Moderate
1376,8.83,7.84,2.27,1.61,3.93,8.82,0.24,Moderate
1377,5.09,10.36,3.24,1.1,3.34,9.31,0.28,Low
1378,1.83,10.81,0.91,0.24,1.5,9.89,0.01,Low
1379,4.02,8.28,4.2,2.27,4.89,9.94,0.03,Moderate
1380,4.16,9.0,0.71,0.01,6.37,7.8,0.59,Moderate
1381,6.34,8.34,4.15,1.29,3.77,10.0,1.08,Moderate
1382,7.66,7.23,0.64,0.06,3.01,10.0,0.05,High
1383,4.9,7.12,2.49,0.12,1.63,10.0,0.23,Moderate
1384,4.84,7.43,3.44,1.52,7.09,10.0,1.62,Moderate
1385,6.24,8.89,0.14,0.27,2.31,10.0,0.29,Low
1386,8.58,8.17,0.0,0.25,0.67,10.0,1.17,High
1387,5.74,7.71,0.42,0.0,3.85,10.0,2.03,Moderate
1388,9.14,6.99,1.78,0.54,4.63,10.0,0.0,Moderate
1389,2.08,10.39,2.11,0.64,5.38,8.76,0.69,Moderate
1390,8.38,5.29,0.4,2.43,2.98,4.05,0.62,High
1391,5.68,7.49,0.21,0.71,3.64,10.0,1.38,Moderate
1392,5.51,10.01,5.21,1.53,2.82,10.0,0.07,Moderate
1393,5.46,8.31,4.13,0.65,4.97,10.0,1.47,Moderate
1394,9.31,5.54,0.0,0.21,4.55,5.11,0.17,High
1395,3.65,8.76,3.35,1.49,4.19,7.62,0.25,Moderate
1396,8.32,8.04,0.0,0.76,4.28,10.0,0.14,Moderate
1397,6.67,5.05,2.1,0.4,2.47,5.04,0.41,High
1398,7.04,7.64,1.62,0.85,4.02,10.0,2.16,Moderate
1399,5.69,7.56,8.0,2.45,4.09,10.0,0.97,Moderate
1400,5.0,6.53,1.88,0.34,4.26,10.0,2.14,Moderate
1401,6.5,7.73,0.0,0.3,3.11,7.51,1.75,Moderate
1402,9.35,6.52,2.8,0.26,3.46,8.61,0.26,High
1403,3.91,8.53,1.45,1.21,2.95,9.23,2.76,Moderate
1404,9.43,6.27,0.58,2.35,7.42,4.16,0.72,High
1405,6.77,6.53,0.15,2.84,5.93,10.0,1.31,Moderate
1406,8.92,5.35,0.0,1.58,5.47,6.48,0.97,High
1407,2.82,8.25,5.27,0.01,3.4,10.0,1.94,Low
1408,10.35,7.16,0.0,0.97,1.31,8.16,0.59,High
1409,5.32,8.3,0.39,2.08,3.23,8.94,0.37,Low
1410,6.64,7.53,6.76,0.41,3.7,8.9,0.03,Moderate
1411,2.06,8.17,5.12,0.49,2.25,8.87,0.52,Moderate
1412,7.35,6.98,0.0,1.71,4.29,10.0,0.06,High
1413,2.14,9.91,5.48,0.33,5.32,10.0,1.66,Low
1414,2.7,9.48,3.18,0.7,0.5,8.83,0.77,Moderate
1415,7.66,6.77,0.27,0.47,2.23,9.9,0.07,Moderate
1416,6.46,5.05,0.44,0.02,6.41,7.01,0.17,High
1417,4.84,7.56,4.05,0.22,4.53,8.08,0.11,High
1418,4.13,8.0,1.28,0.16,2.67,10.0,2.64,Low
1419,3.31,7.86,3.63,1.08,5.33,10.0,0.02,Moderate
1420,2.44,8.66,4.12,0.52,3.24,8.82,0.55,Moderate
1421,6.2,8.57,0.72,0.03,2.87,9.97,0.03,Low
1422,5.7,7.89,3.7,0.37,1.91,10.0,0.53,Moderate
1423,6.53,8.63,8.0,0.01,3.14,9.65,2.2,Low
1424,5.1,6.63,0.23,0.13,5.8,9.14,0.59,High
1425,0.54,9.43,1.06,2.87,3.58,7.37,1.25,Low
1426,2.63,7.06,3.11,0.53,5.68,10.0,1.43,Low
1427,11.65,5.42,0.0,0.6,3.04,3.15,0.97,High
1428,5.86,6.83,6.27,0.66,5.62,10.0,0.06,Moderate
1429,3.66,9.92,3.58,1.29,2.62,10.0,0.06,Moderate
1430,2.85,9.34,1.22,0.86,6.09,9.08,1.34,Moderate
1431,5.92,8.87,1.44,0.09,4.2,10.0,0.29,Moderate
1432,5.18,7.68,1.46,0.98,4.2,10.0,0.04,Moderate
1433,10.33,5.29,5.07,0.17,3.92,3.25,0.34,High
1434,8.62,5.86,6.83,0.34,3.01,2.93,0.47,High
1435,9.33,6.93,0.0,0.21,2.3,8.72,0.05,High
1436,2.49,10.86,2.73,0.98,3.62,10.0,0.26,Moderate
1437,11.42,6.34,0.0,0.57,1.01,3.1,0.53,High
1438,0.71,9.3,1.9,0.22,3.4,8.48,0.8,Moderate
1439,2.15,8.98,1.21,2.39,2.66,7.46,0.11,Low
1440,4.02,8.49,2.62,0.55,4.66,10.0,0.02,Moderate
1441,9.97,8.46,0.0,0.11,3.2,9.04,0.16,Moderate
1442,6.44,8.9,1.44,0.76,4.93,9.45,0.77,Moderate
1443,8.12,7.34,3.19,1.58,2.73,9.71,0.39,Moderate
1444,8.65,7.01,0.43,1.04,2.02,10.0,0.82,Moderate
1445,7.75,7.51,2.79,0.46,1.05,10.0,0.48,Moderate
1446,4.8,8.74,1.71,0.13,3.91,9.67,0.41,Moderate
1447,5.55,7.57,4.5,0.26,5.88,6.5,0.48,Moderate
1448,3.99,7.68,0.86,1.17,4.02,10.0,0.51,Moderate
1449,3.73,9.65,2.12,0.42,3.45,8.78,0.91,Low
1450,10.02,6.44,0.0,0.13,3.11,3.36,0.39,High
1451,3.51,9.64,7.21,0.15,3.85,8.64,0.68,Moderate
1452,5.59,9.62,0.39,0.31,4.45,10.0,2.74,Low
1453,2.09,9.71,0.75,0.67,6.67,8.98,1.03,Moderate
1454,5.83,8.24,0.35,1.99,4.19,8.15,0.06,Low
1455,5.82,11.0,1.48,0.65,3.19,9.73,0.47,Moderate
1456,6.07,8.01,3.52,0.68,3.12,8.99,1.57,Low
1457,5.75,6.82,3.37,0.23,3.87,10.0,1.25,Moderate
1458,3.03,8.58,3.36,2.42,3.83,8.93,2.49,Moderate
1459,6.3,9.27,2.97,0.25,2.37,8.11,0.21,Moderate
1460,4.19,7.17,1.86,0.16,4.48,9.63,1.91,Moderate
1461,4.92,7.45,0.46,0.41,4.93,9.81,0.19,Moderate
1462,3.18,9.92,6.18,0.04,3.53,7.94,0.1,Moderate
1463,7.23,7.12,4.74,0.17,3.12,7.62,0.05,Moderate
1464,9.43,6.51,0.0,1.41,3.43,9.91,0.49,High
1465,4.65,9.37,2.6,1.45,1.85,9.49,0.17,Moderate
1466,5.06,7.44,1.12,0.03,5.17,9.64,0.22,Moderate
1467,4.98,6.71,2.09,0.04,3.65,10.0,1.48,Moderate
1468,9.03,5.37,2.7,0.01,2.06,2.35,1.1,High
1469,3.99,9.11,0.42,0.0,4.25,9.76,2.63,Moderate
1470,9.46,6.87,7.84,2.7,3.85,10.0,0.33,High
1471,4.18,7.77,1.99,0.46,2.76,9.51,0.51,Low
1472,9.07,5.59,0.0,0.33,4.63,2.97,0.77,High
1473,7.27,7.11,2.27,0.85,4.49,9.18,3.0,Moderate
1474,3.07,9.97,3.98,0.81,6.41,8.87,1.49,Low
1475,6.12,6.95,8.0,0.54,3.54,8.1,0.07,High
1476,2.77,8.29,0.87,1.46,4.11,9.75,1.62,Low
1477,5.48,6.82,0.34,2.53,3.19,9.95,0.29,High
1478,5.56,7.61,2.51,0.52,4.51,9.18,1.96,Low
1479,3.73,8.96,1.35,0.67,3.68,10.0,0.52,Low
1480,2.67,11.0,1.16,0.45,4.61,8.64,0.16,Low
1481,1.54,9.6,2.5,0.6,3.32,10.0,0.09,Moderate
1482,10.11,6.33,0.05,0.19,3.85,4.02,0.97,High
1483,5.29,8.94,1.58,1.49,2.95,8.78,0.95,Moderate
1484,8.11,7.78,0.58,0.02,0.5,8.76,3.31,Moderate
1485,4.65,7.72,0.25,0.48,4.89,9.94,0.11,Moderate
1486,7.71,9.53,1.07,0.06,0.5,8.64,0.26,Low
1487,4.15,8.45,5.58,0.01,3.54,9.9,0.33,Low
1488,2.78,9.19,0.89,0.06,3.61,8.83,2.3,Low
1489,4.38,8.94,1.95,0.3,3.51,9.27,0.0,Low
1490,3.75,8.96,0.88,2.04,3.75,9.57,0.67,Moderate
1491,10.92,7.63,0.0,1.29,2.48,10.0,0.03,High
1492,3.51,8.11,1.81,0.2,4.62,8.9,0.25,Moderate
1493,3.1,9.62,0.67,3.84,3.41,9.64,0.11,Moderate
1494,2.53,9.2,1.07,0.15,7.81,9.74,0.13,Moderate
1495,6.12,8.76,4.44,0.27,2.65,8.54,0.19,Moderate
1496,3.96,8.32,0.62,0.4,2.05,10.0,1.29,Moderate
1497,1.2,9.16,0.99,0.1,2.12,9.57,1.34,Moderate
1498,3.57,9.41,7.01,0.23,4.53,10.0,1.04,Low
1499,9.53,6.95,8.0,0.58,0.65,8.21,0.19,Moderate
1500,3.36,7.93,2.29,0.11,2.37,8.26,0.35,Moderate
1501,6.75,8.91,0.0,0.14,0.92,9.93,0.02,Moderate
1502,3.22,9.53,1.28,0.89,4.27,9.33,0.33,Low
1503,5.26,8.01,1.79,0.64,5.68,9.95,1.5,Moderate
1504,6.05,7.34,2.31,0.27,2.34,9.56,0.04,Low
1505,5.18,8.48,1.68,0.21,4.15,10.0,0.08,Moderate
1506,2.44,9.73,1.33,0.64,0.5,6.11,0.08,Low
1507,3.09,7.25,1.79,1.69,3.41,10.0,0.21,High
1508,6.26,8.11,2.43,0.89,4.3,10.0,2.78,Moderate
1509,6.24,8.39,0.06,0.69,2.81,9.33,0.31,Low
1510,5.96,5.49,1.02,0.48,6.01,5.23,0.36,High
1511,9.13,6.92,1.0,0.5,0.5,10.0,1.42,Moderate
1512,8.39,7.68,0.0,0.44,1.93,9.86,0.33,High
1513,2.42,9.66,0.65,1.25,4.41,9.53,0.0,Low
1514,3.59,9.47,0.34,0.38,4.17,10.0,0.01,Low
1515,3.19,8.48,4.76,0.28,4.79,10.0,0.88,Low
1516,11.37,4.91,0.13,1.2,3.71,2.54,1.67,High
1517,8.12,5.28,0.0,1.5,2.34,4.37,0.14,High
1518,5.19,9.2,1.51,0.09,2.05,10.0,2.91,Moderate
1519,6.6,8.32,1.32,2.11,6.7,10.0,0.04,Low
1520,6.96,8.66,0.24,1.49,1.11,10.0,0.14,Moderate
1521,9.58,5.85,0.54,0.63,1.34,2.0,0.07,High
1522,2.96,9.69,3.47,0.32,4.6,7.03,0.64,Low
1523,6.12,6.28,1.62,0.28,2.57,7.13,0.45,High
1524,4.33,7.54,3.53,0.95,6.79,10.0,0.07,Moderate
1525,4.01,8.65,1.83,0.68,7.84,10.0,0.02,Moderate
1526,8.23,7.71,0.15,0.27,2.7,8.36,0.03,High
1527,4.39,10.07,2.2,1.62,3.54,9.28,3.06,Low
1528,2.01,8.98,4.19,2.12,1.37,9.68,1.31,Low
1529,8.13,6.21,0.0,1.94,5.23,3.21,2.62,High
1530,6.81,6.63,0.66,0.66,0.5,9.15,0.07,Moderate
1531,7.53,6.6,1.72,0.45,1.67,10.0,2.33,Moderate
1532,11.14,8.25,1.31,1.14,2.29,9.63,1.94,High
1533,5.03,8.92,2.02,1.15,4.2,9.26,0.12,Moderate
1534,3.66,9.76,0.84,0.19,1.16,10.0,0.23,Moderate
1535,8.03,6.88,8.0,0.8,2.63,10.0,1.52,Moderate
1536,2.78,8.95,2.18,0.18,1.43,7.16,0.27,Moderate
1537,6.0,8.52,6.04,0.08,2.81,10.0,0.33,Low
1538,1.55,8.88,2.22,0.91,3.06,10.0,0.69,Low
1539,3.24,8.5,0.42,0.55,3.04,9.72,0.47,High
1540,4.68,7.61,3.06,0.05,4.96,9.67,2.89,Moderate
1541,6.87,7.07,0.68,0.99,4.08,10.0,0.78,High
1542,8.45,7.02,3.86,0.09,4.12,10.0,0.32,Moderate
1543,3.23,7.97,1.33,0.21,4.01,9.14,0.63,Moderate
1544,4.49,8.64,0.9,0.66,4.7,10.0,0.1,Moderate
1545,2.47,9.35,0.69,0.71,3.79,6.66,0.0,Moderate
1546,4.9,8.03,0.95,0.46,3.03,9.07,0.93,Moderate
1547,10.73,5.34,0.56,0.46,4.24,4.64,0.1,High
1548,3.18,8.92,0.83,1.47,3.2,9.39,0.32,Moderate
1549,6.8,7.04,0.36,1.0,3.19,10.0,0.6,Moderate
1550,10.36,6.34,2.79,0.82,4.67,2.58,0.37,High
1551,8.11,8.19,2.9,2.63,4.36,9.57,0.09,Moderate
1552,1.74,8.06,0.86,1.21,4.09,10.0,0.95,Low
1553,8.8,9.02,0.0,0.41,3.7,7.94,0.14,Moderate
1554,3.88,8.49,0.28,0.37,1.91,9.37,0.12,Moderate
1555,10.81,6.55,1.69,2.26,2.44,8.44,0.28,High
1556,4.43,7.62,1.17,2.09,2.92,10.0,2.03,Low
1557,6.37,8.84,0.83,0.13,3.07,10.0,0.03,Moderate
1558,5.26,7.96,1.63,0.4,4.8,10.0,0.24,Moderate
1559,4.31,8.02,3.7,1.42,4.75,9.41,0.22,Low
1560,5.68,7.36,0.33,2.4,4.46,10.0,0.4,Low
1561,5.69,7.66,1.07,0.26,3.92,9.77,1.61,Low
1562,5.21,8.52,0.17,0.14,3.25,9.88,0.94,Low
1563,1.06,9.73,1.26,0.05,5.85,10.0,0.6,Low
1564,3.03,8.83,1.78,1.05,1.59,7.95,0.66,Moderate
1565,6.58,6.91,0.78,0.46,2.79,10.0,0.97,Moderate
1566,2.62,8.24,0.86,0.97,4.87,8.12,0.12,Moderate
1567,11.08,5.59,0.0,0.14,5.49,6.3,0.96,High
1568,10.93,6.56,6.53,0.13,2.32,9.12,0.34,High
1569,3.41,9.39,0.38,0.01,3.2,8.0,3.08,Low
1570,1.51,10.19,2.67,0.22,1.81,8.48,0.05,Moderate
1571,3.65,8.65,2.48,1.34,3.02,7.84,2.31,Low
1572,7.62,7.64,0.51,1.91,4.3,9.18,0.0,Moderate
1573,3.21,8.63,2.34,1.07,6.31,10.0,0.13,Moderate
1574,3.31,7.02,4.24,0.04,4.12,10.0,0.4,Moderate
1575,9.0,6.56,0.73,1.73,2.13,10.0,1.55,High
1576,8.47,6.59,1.73,0.13,3.55,9.68,0.39,High
1577,4.14,7.44,2.02,0.32,1.77,10.0,2.53,Moderate
1578,3.56,8.11,0.62,0.58,5.92,10.0,2.23,Moderate
1579,6.62,7.74,0.0,2.38,1.6,10.0,0.39,Moderate
1580,5.37,6.91,4.62,2.02,4.56,9.21,0.76,Moderate
1581,3.12,8.12,0.67,0.09,4.62,10.0,0.97,Low
1582,10.43,7.82,1.48,0.06,3.4,7.92,0.08,High
1583,6.24,6.14,4.5,0.18,4.57,6.41,0.28,Moderate
1584,8.09,6.91,0.78,0.11,3.42,9.13,1.3,High
1585,2.18,8.0,3.0,0.06,5.1,8.24,0.79,Moderate
1586,1.83,8.53,1.79,0.28,5.58,8.57,2.17,Low
1587,6.65,7.4,2.01,0.54,6.27,9.07,0.49,Moderate
1588,2.64,8.01,2.45,0.15,2.68,9.77,0.29,Moderate
1589,8.72,7.45,0.95,0.3,0.5,10.0,0.94,Moderate
1590,12.39,6.94,0.0,1.21,0.5,5.73,2.78,High
1591,10.69,7.03,2.71,0.43,0.5,8.91,1.94,Moderate
1592,9.57,7.6,0.0,0.16,0.97,8.23,0.53,High
1593,7.04,6.08,0.0,0.35,2.02,6.07,1.83,High
1594,4.1,8.25,0.51,0.06,3.25,10.0,1.09,Low
1595,4.25,8.91,1.07,1.13,4.86,9.54,0.16,Low
1596,5.26,8.95,0.07,0.27,4.24,9.08,1.56,Low
1597,7.19,9.16,0.0,0.09,1.8,8.04,3.3,Low
1598,8.43,8.04,0.83,0.32,2.07,10.0,1.22,Moderate
1599,4.92,9.1,5.82,0.4,6.35,10.0,0.29,Low
1600,7.68,9.87,6.15,0.6,3.22,7.56,0.29,Moderate
1601,8.65,6.99,0.56,0.2,3.5,10.0,0.47,High
1602,8.18,6.77,2.17,0.2,3.63,8.52,0.83,High
1603,2.88,9.1,2.44,2.0,3.41,8.73,0.69,Moderate
1604,5.06,7.24,1.86,0.05,7.04,8.4,0.03,High
1605,11.09,6.11,6.12,1.26,2.7,2.0,0.15,High
1606,9.49,4.88,0.93,0.2,4.1,4.5,1.52,High
1607,2.44,8.54,3.33,0.05,1.7,10.0,0.16,Moderate
1608,8.4,6.87,1.31,2.31,2.4,8.71,0.02,Moderate
1609,5.02,9.12,1.77,3.27,2.47,10.0,0.16,High
1610,6.0,8.94,2.97,2.02,3.86,10.0,1.83,Low
1611,7.35,6.39,1.63,1.07,2.64,5.83,0.05,High
1612,5.78,9.98,0.55,0.15,2.84,10.0,0.18,Moderate
1613,5.06,8.3,1.88,2.45,2.7,10.0,2.48,Moderate
1614,4.76,8.5,2.65,0.37,1.96,10.0,2.34,Moderate
1615,3.74,7.0,8.0,1.63,2.75,8.24,1.6,Moderate
1616,8.68,6.27,3.41,1.86,3.26,5.66,0.7,High
1617,5.54,9.04,1.58,0.26,3.36,10.0,0.1,Moderate
1618,4.41,8.55,1.01,0.22,3.39,8.85,0.85,Moderate
1619,4.32,8.52,0.27,0.81,2.46,5.58,0.87,Moderate
1620,9.18,6.94,0.92,0.01,2.92,8.12,0.14,Moderate
1621,11.84,4.34,0.0,0.29,3.02,2.7,0.14,High
1622,4.61,8.21,1.38,1.72,2.2,10.0,0.45,Low
1623,5.23,9.5,2.79,0.33,3.22,9.24,0.03,Moderate
1624,12.7,6.57,2.86,0.2,5.11,8.08,0.03,High
1625,3.27,8.66,2.77,0.23,3.7,8.75,1.95,Low
1626,5.07,9.72,8.0,0.07,0.86,9.74,0.3,Low
1627,4.44,7.11,2.67,1.23,6.45,9.71,0.55,Moderate
1628,7.66,6.27,1.52,0.17,5.66,4.17,0.29,High
1629,8.66,8.76,0.0,3.81,4.68,10.0,0.52,Moderate
1630,3.61,9.24,3.19,0.39,3.54,10.0,0.05,Moderate
1631,5.59,7.68,0.03,0.36,2.55,8.58,0.13,Moderate
1632,4.96,8.13,4.34,2.62,2.37,10.0,0.15,Low
1633,6.46,6.86,7.02,0.12,5.55,8.28,0.12,Moderate
1634,3.71,8.9,2.08,2.26,6.12,7.51,1.84,Low
1635,4.78,8.45,5.2,0.06,2.24,10.0,0.7,Low
1636,4.35,8.42,1.4,0.92,0.5,10.0,2.03,Moderate
1637,4.59,7.16,0.33,1.97,4.16,9.42,0.12,Moderate
1638,3.17,9.08,0.79,0.48,2.42,10.0,0.88,Moderate
1639,7.18,6.88,0.21,1.75,2.59,9.2,0.06,High
1640,5.13,7.14,3.01,1.87,3.7,9.62,0.19,Moderate
1641,6.43,8.94,1.37,1.46,3.63,10.0,0.19,Moderate
1642,10.1,8.56,1.61,0.01,1.08,8.26,0.0,High
1643,3.88,10.51,4.45,3.55,3.23,10.0,0.89,Low
1644,10.11,7.04,0.0,0.31,2.67,8.93,0.03,High
1645,9.41,6.37,0.0,1.47,0.5,3.71,0.07,High
1646,6.13,7.71,2.21,1.4,4.4,9.38,1.06,Low
1647,10.15,6.78,0.0,0.22,2.27,6.73,0.61,High
1648,6.39,7.27,2.63,1.2,1.8,10.0,0.94,Moderate
1649,5.06,9.47,2.82,1.59,2.06,10.0,0.31,Moderate
1650,3.77,6.57,3.69,0.49,4.93,9.45,1.2,Low
1651,4.98,7.89,3.77,0.38,3.87,9.05,0.43,Low
1652,8.06,7.9,3.34,2.84,3.99,10.0,0.24,Moderate
1653,8.04,6.27,3.35,0.0,4.34,5.94,0.16,High
1654,10.23,6.1,3.68,0.39,1.44,3.98,2.53,High
1655,5.37,8.64,6.28,0.11,0.5,10.0,0.11,High
1656,3.16,10.34,1.22,0.91,3.46,9.77,0.81,Low
1657,10.62,4.92,5.24,0.08,4.53,4.04,1.48,High
1658,4.65,6.93,2.33,0.46,3.96,10.0,0.7,High
1659,2.86,7.98,0.71,0.16,5.28,8.73,1.43,Low
1660,8.15,5.54,0.33,0.38,2.45,3.36,0.2,High
1661,8.02,5.65,0.35,2.05,3.42,4.82,0.26,High
1662,7.24,6.42,0.0,0.75,2.44,5.02,0.02,Moderate
1663,6.01,9.05,1.77,1.69,4.12,9.72,3.7,Moderate
1664,9.52,6.28,3.3,0.29,1.94,5.97,0.11,High
1665,6.32,7.74,0.15,0.48,6.61,10.0,0.02,Moderate
1666,5.34,7.1,8.0,0.63,3.27,9.79,0.36,Moderate
1667,4.99,8.81,2.15,0.03,4.62,9.88,0.23,Moderate
1668,8.45,8.84,1.19,0.34,1.82,9.91,0.63,Moderate
1669,11.03,5.18,0.58,1.96,5.38,4.6,0.64,High
1670,3.39,10.46,1.62,1.18,5.12,9.58,0.51,Low
1671,7.06,7.82,0.19,0.29,2.82,9.8,0.14,Moderate
1672,6.69,7.6,2.41,0.7,3.9,8.4,0.57,Moderate
1673,4.19,8.86,1.12,0.23,5.52,8.88,2.15,Low
1674,8.11,7.48,0.0,0.14,3.64,10.0,0.15,Moderate
1675,5.21,9.96,4.78,0.7,1.53,10.0,0.29,Moderate
1676,3.53,9.21,0.64,0.05,3.74,7.78,0.54,Low
1677,2.52,9.58,8.0,1.46,2.61,8.54,1.76,Moderate
1678,6.22,7.33,1.39,2.53,3.94,8.88,0.09,Low
1679,3.82,9.43,0.75,0.13,2.29,10.0,0.26,Moderate
1680,4.53,7.38,5.37,0.73,4.67,10.0,0.36,Moderate
1681,3.58,8.78,2.37,0.1,1.11,10.0,0.89,Moderate
1682,6.42,10.56,0.0,1.22,0.69,9.92,2.98,Moderate
1683,5.78,5.4,0.95,0.87,3.41,4.22,0.2,High
1684,9.19,6.94,1.59,1.61,2.89,9.1,2.08,High
1685,7.82,7.46,2.73,0.14,0.99,10.0,0.48,High
1686,10.39,6.06,3.46,0.55,1.85,3.93,0.11,High
1687,5.36,7.85,0.21,0.89,4.89,10.0,0.73,Low
1688,4.78,8.34,1.69,0.54,5.01,10.0,0.15,Moderate
1689,4.66,8.04,6.06,0.5,0.5,10.0,1.98,Moderate
1690,4.82,8.46,1.44,0.08,2.73,10.0,1.06,Low
1691,5.64,7.46,0.41,0.36,5.72,9.33,0.33,Moderate
1692,4.44,10.39,5.6,1.41,3.51,9.41,1.87,Low
1693,10.38,6.04,1.97,0.72,3.8,5.34,0.28,High
1694,3.02,9.44,3.84,0.31,4.52,10.0,0.36,Moderate
1695,8.33,6.34,1.89,1.4,2.14,5.93,1.31,Moderate
1696,4.07,9.43,1.0,0.24,3.73,6.36,1.5,Low
1697,8.39,7.72,1.69,1.41,3.72,8.91,0.08,High
1698,5.35,8.47,0.46,4.34,3.63,10.0,0.45,Low
1699,3.88,7.54,1.86,0.35,3.62,8.34,0.09,Moderate
1700,4.51,7.59,2.08,2.4,3.96,8.43,1.95,Low
1701,4.49,10.04,0.47,0.09,1.35,9.3,0.0,Moderate
1702,3.13,8.07,0.61,2.53,5.11,9.85,0.13,Moderate
1703,5.16,8.76,0.66,0.37,1.25,10.0,0.2,Moderate
1704,2.03,8.27,1.06,1.07,3.16,8.56,0.29,Low
1705,7.13,8.44,2.37,0.04,4.07,9.45,2.2,Moderate
1706,5.69,7.25,1.91,2.24,4.31,8.95,2.32,Moderate
1707,7.95,6.18,0.16,0.25,3.01,5.5,0.75,High
1708,1.9,8.55,1.33,0.67,1.74,9.47,0.38,Low
1709,3.31,8.21,1.68,3.09,4.02,10.0,0.0,Moderate
1710,7.53,7.69,0.0,1.06,2.29,10.0,0.13,Moderate
1711,10.73,6.24,2.21,0.36,3.74,2.53,0.85,High
1712,6.29,6.63,0.38,0.74,3.2,9.58,0.5,High
1713,6.06,7.78,0.33,1.88,0.95,10.0,1.66,Low
1714,5.29,6.93,1.52,1.34,2.03,7.84,2.36,Moderate
1715,10.32,6.96,0.46,1.02,2.2,9.17,0.66,High
1716,5.99,8.65,1.86,0.02,3.4,10.0,0.13,Moderate
1717,7.71,7.2,5.7,0.01,1.65,10.0,0.9,Moderate
1718,2.68,9.26,1.31,0.41,2.69,8.55,0.13,High
1719,2.59,10.77,5.18,0.11,4.43,9.09,0.34,Low
1720,5.96,7.68,0.19,1.38,5.3,10.0,0.26,Low
1721,10.4,5.34,6.89,0.15,3.88,3.53,1.87,High
1722,9.83,7.07,0.0,0.53,2.49,10.0,0.92,High
1723,4.48,7.23,0.45,0.05,3.26,10.0,1.22,Moderate
1724,2.81,8.73,1.92,0.94,4.81,9.05,1.69,Low
1725,3.49,8.1,2.27,0.52,3.61,10.0,0.46,Moderate
1726,9.58,5.87,1.08,1.22,4.84,4.35,0.44,High
1727,6.48,7.41,3.24,1.39,5.08,10.0,2.42,Moderate
1728,3.74,9.51,8.0,0.41,4.07,7.14,0.08,Moderate
1729,8.41,8.09,0.0,1.19,2.12,9.48,3.48,Moderate
1730,5.37,8.97,0.22,0.32,2.64,9.63,0.58,Moderate
1731,5.49,8.34,0.01,1.38,1.03,9.79,3.13,Moderate
1732,4.75,8.0,0.49,1.48,3.73,10.0,0.05,Low
1733,4.06,6.15,0.7,0.42,4.6,4.16,2.22,Moderate
1734,8.41,7.35,3.51,1.64,1.09,10.0,0.47,Moderate
1735,3.03,6.59,0.44,0.38,8.35,9.68,0.06,High
1736,5.14,6.2,1.0,0.17,5.27,5.91,0.07,Moderate
1737,4.66,8.13,0.88,0.51,2.52,9.67,0.17,Moderate
1738,8.62,7.17,0.98,1.88,6.26,10.0,0.07,Moderate
1739,4.94,7.74,0.34,2.48,3.12,9.73,0.15,Moderate
1740,3.85,10.11,1.69,0.83,4.44,8.47,0.11,Moderate
1741,7.61,7.72,0.45,2.41,3.34,10.0,0.4,Moderate
1742,8.29,6.77,2.2,0.02,2.73,8.93,0.15,High
1743,6.87,8.91,2.1,0.11,2.41,9.42,0.93,Moderate
1744,2.52,10.61,7.69,2.18,5.48,8.18,0.36,Moderate
1745,6.36,8.21,0.75,0.83,4.64,10.0,0.12,Moderate
1746,6.1,7.01,3.12,0.35,3.69,9.42,2.57,High
1747,2.93,8.35,0.43,1.52,1.05,10.0,0.58,Moderate
1748,4.05,7.06,0.51,0.46,4.82,10.0,3.92,Moderate
1749,4.16,8.43,0.43,0.07,1.92,9.39,0.99,Low
1750,2.77,7.91,8.0,0.07,5.15,8.21,0.04,Moderate
1751,1.7,9.0,0.68,0.82,3.1,8.72,0.09,Moderate
1752,9.01,7.03,0.0,0.23,2.22,10.0,1.17,Moderate
1753,3.97,6.55,1.73,0.67,3.63,9.62,0.06,High
1754,2.34,7.84,1.68,0.16,6.01,8.97,0.61,Moderate
1755,6.5,7.14,0.22,0.23,1.07,8.78,0.05,Moderate
