Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Screen_Time_Hours_Per_Day,GPA,Extracurricular_Hours_Per_Day,Anxiety_Norm,Social_Support_Deficit,Career_Concern_Norm,Mood_Norm,Stress_Level
1120,2.92,7.73,2.25,2.01,5.38,9.35,1.67,0.0,0.127,0.0,0.0,Low
1121,7.83,7.72,1.81,1.82,1.83,8.2,0.23,0.678,0.397,0.632,0.429,Moderate
1122,10.06,5.54,0.43,0.12,6.88,7.43,0.96,1.0,0.739,0.921,1.0,High
1123,2.46,8.78,8.0,0.29,6.21,10.0,2.76,0.327,0.034,0.361,0.129,Low
1124,7.82,6.58,0.6,2.87,2.52,10.0,0.78,0.293,0.226,0.59,0.691,Moderate
1125,1.46,8.05,3.07,0.26,5.26,9.84,0.12,0.261,0.286,0.549,0.513,Moderate
1126,6.29,6.41,2.26,0.09,2.98,6.3,1.69,0.002,0.519,0.39,0.379,Moderate
1127,4.57,9.24,0.79,0.69,3.79,10.0,2.31,0.151,0.208,0.162,0.141,Low
1128,5.26,8.41,1.09,0.68,5.05,10.0,1.44,0.205,0.338,0.034,0.227,Low
1129,4.5,5.15,0.63,2.81,5.27,5.07,0.79,0.703,0.76,0.552,0.97,High
1130,5.92,7.22,1.22,0.94,3.69,10.0,0.38,0.09,0.424,0.004,0.0,Low
1131,3.9,9.45,1.11,0.01,4.49,8.39,0.64,0.13,0.531,0.302,0.079,Moderate
1132,4.94,8.76,1.42,2.3,4.63,10.0,0.15,0.374,0.423,0.575,0.333,Moderate
1133,7.18,9.54,0.08,0.77,0.9,10.0,0.14,0.473,0.566,0.355,0.589,Moderate
1134,2.76,8.7,0.57,0.29,3.51,9.55,1.2,0.048,0.329,0.149,0.0,Low
1135,3.42,9.11,5.33,0.1,3.69,10.0,2.01,0.0,0.149,0.294,0.0,Low
1136,7.85,6.29,4.85,0.08,3.87,6.98,1.97,0.833,0.023,0.301,0.697,Moderate
1137,4.98,6.63,3.07,0.7,6.96,9.5,0.29,0.303,0.504,0.54,0.073,Moderate
1138,6.58,7.99,4.72,0.37,2.85,8.71,0.1,0.383,0.373,0.124,0.329,Moderate
1139,9.43,6.23,0.49,0.37,2.86,5.07,0.09,1.0,0.777,0.888,1.0,High
1140,4.37,11.0,3.1,0.4,1.66,10.0,0.27,0.487,0.347,0.147,0.315,Moderate
1141,4.96,7.6,4.89,2.46,4.42,8.69,0.6,0.28,0.106,0.405,0.208,Moderate
1142,4.26,8.01,3.04,0.82,1.41,9.09,0.34,0.127,0.726,0.0,0.112,Low
1143,4.47,8.44,0.89,0.18,3.4,10.0,3.64,0.0,0.35,0.052,0.0,Low
1144,6.77,8.49,2.08,0.27,3.86,8.93,0.02,0.0,0.582,0.0,0.035,Low
1145,4.17,9.32,1.26,2.52,4.44,9.74,0.59,0.033,0.339,0.388,0.0,Low
1146,9.22,5.04,1.82,1.88,4.76,3.58,0.11,0.999,0.646,1.0,1.0,High
1147,3.53,10.0,1.37,0.46,2.76,9.87,0.9,0.0,0.504,0.282,0.145,Moderate
1148,6.39,7.52,0.59,0.22,3.12,9.63,1.43,0.166,0.609,0.253,0.0,Low
1149,3.13,6.15,1.09,0.04,5.19,2.0,2.02,0.566,0.633,0.749,0.767,Moderate
1150,4.39,8.39,2.7,1.0,3.64,10.0,0.42,0.289,0.559,0.43,0.143,Moderate
1151,8.13,6.06,0.29,0.37,3.59,5.14,0.3,1.0,0.57,0.937,1.0,High
1152,3.2,9.99,1.68,2.63,2.26,8.19,0.55,0.148,0.334,0.219,0.0,Moderate
1153,11.64,6.2,0.52,0.69,2.63,3.51,0.33,1.0,0.943,0.99,1.0,High
1154,4.41,9.46,1.73,0.07,0.67,9.45,0.48,0.02,0.646,0.067,0.0,Low
1155,2.86,10.12,1.17,1.04,3.8,9.88,0.2,0.298,0.483,0.348,0.13,Moderate
1156,9.93,5.99,1.21,0.29,2.34,4.71,1.33,0.929,0.96,0.957,1.0,High
1157,8.18,7.31,0.75,0.03,3.54,9.71,0.47,0.764,0.528,0.723,1.0,High
1158,9.89,7.6,0.0,0.09,3.0,9.21,0.11,0.836,0.372,0.771,0.919,High
1159,4.75,8.48,0.12,2.72,3.98,9.39,0.3,0.0,0.943,0.186,0.0,Low
1160,6.22,6.92,8.0,1.22,3.03,10.0,0.43,0.311,0.211,0.394,0.489,Moderate
1161,8.7,8.32,0.0,1.99,4.59,10.0,0.25,0.557,0.871,0.277,0.646,Moderate
1162,0.0,9.95,1.19,0.84,1.8,9.69,0.06,0.277,0.824,0.07,0.129,Moderate
1163,7.1,6.65,0.31,1.03,5.46,10.0,0.42,0.579,0.495,0.097,0.239,Moderate
1164,8.33,8.93,5.1,0.14,2.72,9.66,0.62,0.353,0.15,0.556,0.248,Moderate
1165,7.83,5.28,1.45,0.44,3.05,4.11,0.12,1.0,0.731,0.643,1.0,High
1166,4.59,7.65,1.39,0.92,5.61,9.37,1.07,0.304,0.416,0.504,0.346,Moderate
1167,6.08,7.22,3.87,0.06,5.43,10.0,0.23,0.379,0.451,0.346,0.5,Moderate
1168,4.31,9.3,2.06,1.76,2.47,10.0,2.46,0.24,0.115,0.293,0.0,Moderate
1169,4.72,7.92,0.69,1.46,7.42,8.98,0.19,0.523,0.552,0.4,0.559,Moderate
1170,5.92,7.17,1.95,0.02,3.64,10.0,0.7,0.496,0.46,0.258,0.55,Moderate
1171,2.63,10.05,0.64,0.13,2.42,8.33,0.2,0.293,0.638,0.411,0.338,Moderate
1172,5.28,8.86,4.31,0.89,2.78,9.78,0.15,0.157,0.213,0.326,0.049,Low
1173,8.29,6.74,0.09,2.03,1.33,10.0,0.25,0.91,1.0,0.681,1.0,High
1174,6.84,7.76,0.15,0.14,1.9,10.0,0.72,0.34,0.465,0.141,0.239,Moderate
1175,4.94,7.07,5.26,1.04,1.81,7.12,0.56,0.367,0.087,0.282,0.417,Moderate
1176,3.47,8.48,3.46,0.27,5.51,9.76,1.6,0.198,0.167,0.432,0.0,Low
1177,2.25,9.07,2.37,1.37,3.98,10.0,0.54,0.425,0.245,0.22,0.321,Moderate
1178,3.97,7.24,3.17,0.67,4.08,8.9,0.22,0.018,0.368,0.465,0.218,Low
1179,8.97,5.13,0.0,1.16,2.08,4.58,0.28,1.0,0.627,0.928,1.0,High
1180,6.82,7.14,0.74,0.39,2.83,10.0,0.79,0.0,0.611,0.103,0.116,Moderate
1181,2.86,9.98,1.34,2.78,1.13,9.05,0.13,0.373,0.585,0.652,0.41,Moderate
1182,10.13,6.96,0.0,0.15,1.53,8.04,0.06,0.816,0.783,0.545,1.0,High
1183,7.15,6.82,0.57,0.54,2.47,10.0,0.12,0.832,0.665,1.0,1.0,High
1184,7.43,9.92,0.05,1.05,3.79,10.0,0.04,0.235,0.387,0.007,0.098,Low
1185,7.18,6.34,0.33,0.14,3.05,4.98,0.03,0.879,0.687,1.0,1.0,High
1186,3.08,9.4,0.85,1.01,5.64,8.82,2.72,0.161,0.339,0.326,0.114,Low
1187,5.13,7.6,1.2,0.67,1.97,9.07,0.02,0.207,0.638,0.328,0.279,Moderate
1188,3.78,9.82,0.63,0.18,2.27,8.78,1.28,0.05,0.575,0.304,0.357,Moderate
1189,5.23,7.98,1.83,0.03,4.26,7.45,0.83,0.374,0.125,0.154,0.278,Low
1190,4.96,7.95,0.62,2.14,3.54,9.96,0.02,0.115,0.696,0.0,0.006,Low
1191,2.43,10.04,5.84,0.3,3.09,8.57,0.24,0.579,0.28,0.51,0.584,Moderate
1192,5.39,7.87,2.37,3.21,3.96,10.0,0.61,0.036,0.369,0.214,0.012,Low
1193,4.81,8.98,2.5,0.12,2.88,10.0,0.1,0.348,0.402,0.455,0.303,Moderate
1194,4.82,8.13,0.25,0.06,0.69,9.76,2.85,0.213,0.678,0.201,0.06,Moderate
1195,4.3,5.79,2.99,0.92,1.68,3.77,0.12,0.774,0.525,0.554,0.878,High
1196,7.84,9.34,5.59,0.67,5.62,9.54,0.17,0.713,0.678,0.437,1.0,High
1197,8.96,7.31,1.38,0.3,5.21,9.93,0.26,0.462,0.591,0.069,0.499,Moderate
1198,4.64,7.99,0.94,0.81,5.04,10.0,1.92,0.226,0.288,0.249,0.178,Moderate
1199,6.81,8.9,1.17,0.39,3.47,10.0,0.09,0.326,0.181,0.514,0.169,Moderate
1200,6.86,6.56,0.04,0.27,3.86,8.56,0.29,0.372,0.63,0.262,0.467,Moderate
1201,3.46,7.8,1.93,1.62,5.1,10.0,2.16,0.3,0.493,0.469,0.0,Low
1202,4.6,6.9,1.43,1.62,3.22,7.41,0.0,0.698,0.763,0.428,0.559,Moderate
1203,6.25,7.54,4.04,0.13,3.15,9.69,0.41,0.274,0.14,0.043,0.0,Moderate
1204,3.99,7.87,1.22,0.06,5.56,8.08,0.13,0.0,0.361,0.111,0.0,Low
1205,7.48,7.02,1.82,0.53,4.87,9.6,0.23,0.648,0.655,0.515,1.0,High
1206,9.84,5.01,1.97,0.46,3.92,5.03,0.03,1.0,0.622,0.784,1.0,High
1207,1.53,8.7,1.78,0.86,3.66,8.17,0.3,0.318,0.583,0.541,0.392,Moderate
1208,4.46,8.82,1.23,1.81,5.42,10.0,0.49,0.58,0.868,0.359,0.56,Moderate
1209,9.46,7.98,0.0,0.03,1.59,9.5,0.72,0.791,0.746,0.414,0.78,High
1210,6.16,7.81,1.78,0.55,4.05,9.22,0.8,0.0,0.721,0.0,0.0,Low
1211,5.7,7.43,3.92,2.45,6.75,10.0,0.85,0.06,0.566,0.174,0.094,Moderate
1212,2.11,9.82,0.88,0.5,4.34,8.51,0.14,0.229,0.389,0.214,0.046,Low
1213,6.4,8.86,4.19,0.62,3.05,10.0,0.24,0.411,0.293,0.478,0.182,Moderate
1214,2.71,10.1,3.68,1.89,1.76,10.0,0.28,0.27,0.152,0.221,0.265,Moderate
1215,8.67,7.4,0.02,4.16,3.82,9.16,0.31,0.407,0.837,0.56,0.663,Moderate
1216,3.82,7.83,5.93,1.4,2.68,10.0,0.67,0.381,0.037,0.591,0.5,Moderate
1217,10.54,6.18,2.21,0.46,0.85,3.77,0.08,0.839,0.725,1.0,1.0,High
1218,3.61,8.9,4.03,1.22,3.31,10.0,0.13,0.0,0.381,0.05,0.0,Low
1219,4.39,5.93,0.97,1.35,4.18,7.01,0.04,0.683,0.513,0.446,0.564,High
1220,10.19,6.39,1.43,2.5,2.19,5.05,0.73,1.0,0.811,0.586,1.0,High
1221,7.89,8.89,3.09,0.58,2.72,9.19,0.94,0.001,0.315,0.272,0.0,Low
1222,7.63,6.61,0.71,1.0,3.97,10.0,0.19,0.62,0.88,0.758,0.827,High
1223,7.81,5.38,1.94,1.19,4.93,3.21,1.11,1.0,0.482,1.0,1.0,High
1224,3.58,8.0,0.29,0.05,5.13,9.17,2.36,0.511,0.444,0.342,0.692,Moderate
1225,7.4,6.63,0.57,0.77,5.5,8.9,0.45,0.565,0.652,0.595,1.0,High
1226,4.34,9.51,3.23,0.7,2.9,8.44,0.48,0.0,0.609,0.09,0.0,Low
1227,4.79,10.88,2.72,0.92,3.34,8.17,0.12,0.203,0.334,0.147,0.272,Moderate
1228,3.47,8.87,0.95,0.15,1.03,9.03,0.35,0.167,0.429,0.058,0.014,Moderate
1229,5.93,7.0,3.34,2.3,4.19,8.66,0.22,0.929,0.521,0.745,0.616,High
1230,7.55,6.07,1.37,3.24,3.56,4.61,0.24,0.59,0.287,0.567,0.569,High
1231,8.48,7.99,3.0,1.94,0.77,9.15,1.29,0.0,0.362,0.393,0.153,Low
1232,5.34,8.78,4.78,0.39,2.72,10.0,0.45,0.096,0.53,0.106,0.0,Low
1233,8.61,8.08,6.64,0.22,2.36,10.0,1.09,0.302,0.006,0.616,0.334,Moderate
1234,3.62,8.13,1.85,2.44,4.7,10.0,0.51,0.167,0.358,0.172,0.281,Moderate
1235,8.4,8.62,4.45,0.0,2.62,10.0,0.68,0.615,0.29,0.52,0.725,Moderate
1236,10.01,6.6,1.62,0.43,2.68,8.44,0.64,0.765,0.551,0.453,1.0,High
1237,7.68,6.52,0.17,0.12,2.32,10.0,0.56,0.618,0.47,0.283,0.729,Moderate
1238,4.02,6.46,0.43,0.24,6.23,4.75,2.16,0.469,0.793,0.632,0.859,High
1239,7.1,6.93,2.93,2.2,7.39,9.11,0.2,0.926,0.608,0.798,1.0,High
1240,7.28,6.85,5.9,2.51,3.52,8.43,0.45,0.151,0.181,0.672,0.454,Moderate
1241,2.02,8.15,2.7,0.03,4.33,8.72,0.73,0.226,0.405,0.262,0.441,Moderate
1242,6.51,8.09,1.25,0.11,4.04,9.19,0.46,0.589,0.502,0.829,0.532,Moderate
1243,5.05,7.47,0.41,3.91,1.97,9.68,0.2,0.157,0.394,0.072,0.192,Moderate
1244,8.05,6.16,0.69,0.01,2.18,4.17,0.17,0.88,0.979,0.624,0.923,High
1245,4.79,7.33,4.12,0.26,4.84,8.81,0.52,0.612,0.317,0.59,0.504,Moderate
1246,6.53,6.22,2.01,0.1,5.36,5.03,0.11,1.0,0.559,0.842,1.0,High
1247,3.36,8.18,0.9,0.14,3.93,7.71,0.08,0.395,0.533,0.482,0.209,Moderate
1248,11.05,5.51,2.93,1.07,3.56,5.03,0.37,1.0,0.589,0.766,1.0,High
1249,7.58,7.03,0.12,1.12,2.89,8.19,2.61,0.0,0.512,0.399,0.0,Low
1250,3.29,9.15,3.14,0.48,4.49,9.59,0.24,0.22,0.459,0.467,0.203,Moderate
1251,8.56,8.46,3.56,1.52,2.03,10.0,0.33,0.88,0.327,0.388,0.79,High
1252,7.97,8.15,3.65,0.33,2.56,9.95,3.17,0.2,0.49,0.307,0.0,Moderate
1253,9.23,5.13,0.62,2.0,8.0,5.37,0.33,1.0,0.437,1.0,1.0,High
1254,5.39,8.93,1.65,0.61,3.6,10.0,0.23,0.128,0.342,0.228,0.093,Low
1255,5.89,8.95,0.37,0.89,2.54,10.0,0.41,0.018,0.587,0.401,0.218,Low
1256,5.05,8.91,6.93,0.02,4.35,10.0,2.27,0.0,0.005,0.23,0.0,Low
1257,4.84,7.78,0.17,0.15,1.99,10.0,0.28,0.216,0.573,0.382,0.365,Moderate
1258,5.49,9.47,0.51,0.36,1.14,9.81,0.1,0.0,0.409,0.08,0.02,Low
1259,8.56,6.03,0.07,0.38,2.33,4.46,1.06,0.865,0.367,0.705,1.0,High
1260,7.92,8.22,1.49,1.11,5.48,10.0,0.38,0.538,0.654,0.423,0.348,Moderate
1261,8.52,7.98,2.88,0.19,2.38,9.26,2.2,0.584,0.491,0.661,0.633,Moderate
1262,5.92,8.35,0.09,0.2,3.74,10.0,2.49,0.172,0.463,0.39,0.472,Moderate
1263,10.55,4.43,0.68,0.11,3.32,3.63,0.69,1.0,0.806,1.0,1.0,High
1264,5.54,8.19,0.81,0.15,5.14,9.5,2.17,0.035,0.511,0.091,0.29,Moderate
1265,4.4,9.22,3.36,0.7,2.6,10.0,0.02,0.182,0.275,0.07,0.578,Moderate
1266,3.75,8.66,0.48,1.36,2.35,10.0,0.14,0.375,0.386,0.439,0.385,Moderate
1267,10.38,6.21,0.83,0.59,3.79,5.27,0.49,0.965,0.948,0.494,0.983,High
1268,2.79,8.57,1.34,0.67,3.04,10.0,0.27,0.603,0.376,0.544,0.581,Moderate
1269,5.84,7.35,2.97,1.45,3.4,9.82,2.62,0.0,0.186,0.086,0.0,Low
1270,6.59,7.52,2.53,0.39,3.41,9.63,2.45,0.01,0.336,0.0,0.136,Low
1271,3.9,9.76,2.98,0.26,3.6,9.82,2.01,0.674,0.16,0.464,0.101,Moderate
1272,3.82,7.88,6.81,1.25,4.3,7.83,0.44,0.0,0.255,0.479,0.182,Low
1273,2.92,9.3,2.58,2.1,0.89,10.0,0.14,0.049,0.331,0.28,0.471,Moderate
1274,5.2,5.42,2.5,0.81,2.88,3.43,0.04,0.652,0.87,0.74,0.94,High
1275,8.91,6.28,1.26,0.21,2.03,5.45,0.07,0.679,0.667,0.881,1.0,High
1276,8.42,7.69,0.61,0.15,3.77,10.0,2.28,0.423,0.652,0.488,0.252,Moderate
1277,8.6,7.92,1.74,0.5,3.87,10.0,2.5,0.672,0.096,0.419,0.335,Moderate
1278,10.43,5.16,4.33,1.72,3.53,3.12,1.68,1.0,0.409,0.778,1.0,High
1279,2.34,9.39,2.3,1.84,1.74,9.0,0.4,0.0,0.722,0.071,0.0,Low
1280,5.91,8.64,5.98,0.24,4.05,9.78,1.65,0.273,0.111,0.274,0.124,Moderate
1281,5.49,7.2,0.52,1.51,5.71,10.0,1.37,0.314,0.174,0.537,0.795,High
1282,3.43,7.05,2.44,0.04,5.59,9.39,0.16,1.0,0.697,0.595,1.0,High
1283,3.33,7.4,0.82,3.04,5.89,8.18,0.1,0.084,0.384,0.035,0.111,Moderate
1284,5.19,6.51,6.7,2.77,2.59,8.66,0.12,0.0,0.243,0.0,0.0,Low
1285,5.07,8.85,4.72,0.94,2.88,10.0,0.55,0.158,0.246,0.0,0.0,Low
1286,3.44,8.81,0.84,0.38,6.38,10.0,1.55,0.673,0.361,0.686,0.223,Moderate
1287,5.99,7.39,2.77,0.63,2.59,9.33,0.83,0.0,0.271,0.084,0.0,Low
1288,7.73,6.32,0.93,0.38,3.87,6.27,2.19,0.589,0.777,0.569,0.645,Moderate
1289,6.5,8.74,0.79,0.05,0.71,8.71,0.23,0.004,0.744,0.009,0.186,Moderate
1290,4.43,8.15,1.17,0.19,2.79,9.71,2.67,0.383,0.68,0.321,0.578,Moderate
1291,5.72,8.23,0.68,2.35,1.59,10.0,3.01,0.123,0.562,0.393,0.0,Low
1292,4.16,7.55,2.77,0.48,2.57,8.69,0.1,0.105,0.501,0.119,0.0,Low
1293,5.31,6.87,3.18,1.02,4.67,10.0,0.54,0.281,0.442,0.566,0.336,Moderate
1294,11.7,6.83,1.73,0.01,3.61,6.84,0.35,1.0,0.841,0.662,1.0,High
1295,10.1,6.46,0.0,0.69,4.56,5.18,0.65,0.931,0.708,0.704,1.0,High
1296,5.28,8.23,1.49,1.72,2.96,8.01,2.23,0.245,0.316,0.329,0.002,Moderate
1297,8.34,7.32,0.51,2.21,2.92,10.0,0.71,0.0,0.778,0.183,0.0,Low
1298,12.6,6.49,0.0,1.59,2.15,3.0,0.68,1.0,0.628,1.0,1.0,High
1299,4.62,9.46,0.38,0.16,5.29,9.62,2.67,0.465,0.599,0.34,0.516,Moderate
1300,5.2,6.97,1.39,2.0,6.02,10.0,0.17,0.453,0.613,0.395,0.721,Moderate
1301,5.73,7.65,0.77,0.61,4.54,9.78,0.55,0.187,0.304,0.264,0.0,Low
1302,5.32,7.02,1.77,1.62,4.19,10.0,3.2,0.0,0.298,0.0,0.014,Low
1303,3.44,8.88,0.89,0.54,3.85,9.91,0.47,0.322,0.66,0.192,0.311,Moderate
1304,10.49,5.85,1.82,0.07,3.42,3.12,0.06,1.0,0.69,1.0,1.0,High
1305,3.29,8.45,0.86,0.05,2.31,9.23,0.39,0.536,0.374,0.0,0.51,Moderate
1306,6.39,7.45,2.0,2.24,3.78,10.0,0.22,0.682,0.362,0.157,0.543,High
1307,6.49,7.36,0.23,0.9,1.08,10.0,0.65,0.439,0.573,0.272,0.678,Moderate
1308,4.48,10.87,1.92,0.07,2.49,9.41,0.39,0.582,0.48,0.162,0.218,Moderate
1309,9.43,4.68,3.12,0.11,3.51,5.17,0.04,1.0,0.643,0.884,1.0,High
1310,3.46,8.55,3.24,0.68,2.77,10.0,1.1,0.392,0.516,0.633,0.537,Moderate
1311,2.86,7.42,1.81,0.7,4.17,10.0,0.65,0.557,0.551,0.036,0.275,Moderate
1312,3.12,8.99,0.47,2.74,6.41,8.66,0.18,0.711,0.702,0.391,0.49,Moderate
1313,4.23,7.02,0.44,0.95,3.14,10.0,2.67,0.316,0.231,0.142,0.0,Low
1314,9.44,6.55,0.81,0.8,3.65,10.0,3.31,0.595,0.468,0.547,0.328,Moderate
1315,10.44,5.53,0.73,0.56,4.33,4.49,2.12,1.0,0.533,0.81,1.0,High
1316,3.77,9.67,1.85,0.65,0.5,8.7,0.39,0.377,0.472,0.243,0.284,Moderate
1317,4.64,6.8,1.19,0.15,5.49,10.0,0.25,0.473,0.523,0.573,0.595,Moderate
1318,7.12,6.07,5.56,0.19,2.96,4.23,0.39,0.701,0.511,0.764,1.0,High
1319,3.16,7.66,3.43,0.24,3.01,8.2,0.19,0.658,0.61,0.348,0.468,Moderate
1320,0.91,9.97,1.84,1.67,4.52,9.02,0.25,0.0,0.506,0.096,0.0,Low
1321,6.22,7.94,2.13,0.45,4.06,9.5,1.09,0.0,0.595,0.309,0.0,Low
1322,4.44,8.06,2.69,0.66,5.64,8.94,0.15,0.622,0.572,0.0,0.079,Moderate
1323,9.05,7.38,2.55,3.05,1.51,7.29,0.07,0.549,0.348,0.498,0.576,Moderate
1324,4.77,5.97,1.58,0.06,3.04,4.95,0.01,1.0,0.738,1.0,1.0,High
1325,7.89,6.9,5.56,1.94,2.71,8.84,0.1,0.108,0.248,0.042,0.234,Moderate
1326,4.86,8.19,0.72,0.81,4.93,9.47,0.59,0.458,0.298,0.452,0.456,Moderate
1327,4.65,8.46,2.17,3.25,3.23,10.0,0.08,0.127,0.393,0.25,0.0,Moderate
1328,5.64,8.0,0.85,1.79,0.5,9.08,0.23,0.565,0.592,0.523,0.605,Moderate
1329,8.88,7.05,0.96,1.56,2.8,9.44,0.35,0.154,0.509,0.219,0.453,Moderate
1330,7.43,7.76,5.86,1.53,2.8,10.0,1.03,0.025,0.179,0.377,0.0,Low
1331,3.25,10.72,6.1,0.73,1.8,9.6,0.1,0.007,0.416,0.3,0.0,Low
1332,4.87,8.92,2.06,1.2,4.16,9.64,1.1,0.0,0.314,0.0,0.0,Low
1333,2.09,7.67,2.54,0.23,4.97,9.81,0.25,0.259,0.411,0.124,0.0,Low
1334,3.78,9.43,7.43,0.05,3.85,8.68,0.86,0.033,0.0,0.0,0.0,Low
1335,4.2,8.29,2.01,0.03,3.03,5.99,0.09,0.17,0.354,0.637,0.219,Moderate
1336,5.61,7.38,0.52,1.22,2.83,8.33,1.52,0.378,0.602,0.707,0.404,Moderate
1337,6.39,6.23,1.64,2.9,2.4,6.22,1.13,0.22,0.174,0.34,0.395,Moderate
1338,5.51,7.69,2.49,0.2,4.28,10.0,0.74,0.0,0.22,0.315,0.04,Low
1339,3.98,8.71,1.37,0.48,5.19,10.0,0.47,0.0,0.696,0.05,0.0,Low
1340,3.63,9.39,1.05,0.1,4.26,9.24,0.25,0.113,0.523,0.132,0.0,Low
1341,9.59,5.45,0.0,0.16,3.12,2.0,0.0,1.0,0.533,0.949,1.0,High
1342,5.54,7.56,1.33,0.91,3.59,10.0,0.13,0.0,0.635,0.326,0.127,Low
1343,3.93,8.04,2.97,0.1,3.53,10.0,2.49,0.486,0.136,0.518,0.358,Moderate
1344,0.86,9.04,0.84,0.73,4.88,7.47,0.3,0.433,0.624,0.725,0.322,Moderate
1345,5.45,6.48,3.98,0.23,4.49,4.72,0.41,0.761,0.485,0.568,0.804,High
1346,3.11,7.76,1.44,0.23,5.22,10.0,0.07,0.338,0.377,0.508,0.319,Moderate
1347,4.79,7.93,0.3,0.6,5.42,10.0,0.39,0.441,0.853,0.305,0.15,Moderate
1348,2.81,9.56,3.62,0.55,3.42,8.68,0.03,0.659,0.547,0.334,0.766,High
1349,4.52,8.1,3.59,0.06,2.83,6.94,1.21,0.459,0.272,0.344,0.325,Moderate
1350,10.44,5.06,1.08,1.02,0.5,2.0,1.12,1.0,0.478,1.0,1.0,High
1351,4.45,8.09,1.14,2.19,5.0,10.0,3.83,0.0,0.397,0.146,0.0,Low
1352,3.19,7.55,4.11,1.31,2.86,10.0,0.32,0.367,0.234,0.177,0.454,Moderate
1353,8.34,7.73,1.59,0.07,2.82,10.0,0.31,0.661,0.644,0.559,0.684,Moderate
1354,8.19,8.54,1.97,0.58,2.41,10.0,2.26,0.065,0.248,0.0,0.0,Low
1355,4.32,8.49,1.79,0.14,0.5,10.0,1.66,0.0,0.44,0.077,0.0,Low
1356,7.22,8.06,2.57,2.01,4.6,10.0,0.24,0.206,0.548,0.024,0.413,Moderate
1357,3.41,8.0,4.86,0.44,5.72,9.08,0.07,0.438,0.318,0.397,0.133,Moderate
1358,5.84,8.1,0.0,0.02,3.77,10.0,1.87,0.237,0.39,0.063,0.293,Moderate
1359,3.85,8.5,4.33,0.17,1.97,8.88,0.73,0.344,0.254,0.496,0.118,Moderate
1360,10.89,7.07,2.39,3.13,2.47,10.0,0.21,1.0,0.385,0.762,0.946,High
1361,6.34,7.06,0.19,1.23,4.56,10.0,0.13,0.407,0.733,0.108,0.482,Moderate
1362,6.64,7.47,0.0,1.51,2.71,9.47,1.69,0.2,0.456,0.179,0.364,Moderate
1363,5.95,6.69,0.15,2.82,6.51,9.24,0.15,0.404,0.647,0.408,0.42,Moderate
1364,11.05,6.65,0.27,0.1,2.87,10.0,1.91,0.808,0.746,0.502,1.0,High
1365,4.58,7.63,0.36,1.74,6.08,9.77,0.25,0.186,0.456,0.249,0.0,Low
1366,4.2,8.08,2.79,0.03,2.57,10.0,0.23,0.04,0.354,0.23,0.062,Low
1367,8.59,5.97,1.86,3.04,5.35,4.97,0.3,0.833,0.514,0.677,0.905,High
1368,9.72,6.27,0.88,1.03,4.25,5.2,0.19,1.0,0.877,1.0,1.0,High
1369,10.46,6.92,5.93,0.98,1.85,9.29,1.44,0.598,0.0,0.517,0.972,High
1370,7.57,7.57,0.0,0.61,3.4,9.81,0.01,0.744,0.908,0.515,0.544,Moderate
1371,8.54,8.15,1.13,0.34,3.85,8.83,0.1,0.97,0.821,0.397,0.821,High
1372,3.56,7.96,0.61,0.02,2.35,9.58,0.09,0.567,0.762,0.245,0.08,Moderate
1373,3.9,8.51,0.61,0.83,0.89,9.84,0.4,0.277,0.539,0.0,0.0,Moderate
1374,6.11,8.87,0.55,1.63,1.04,9.6,0.43,0.193,0.379,0.229,0.255,Moderate
1375,4.78,7.25,0.23,0.43,3.47,10.0,0.09,0.346,0.543,0.201,0.159,Moderate
1376,8.7,8.02,0.88,0.36,2.47,9.52,0.01,0.492,0.611,0.524,0.247,Moderate
1377,4.85,9.69,1.77,0.07,2.51,4.94,0.91,0.007,0.524,0.3,0.0,Low
1378,1.21,8.34,1.77,0.02,2.66,9.22,0.03,0.0,0.445,0.31,0.001,Low
1379,2.9,11.0,1.99,0.17,4.63,10.0,0.28,0.05,0.337,0.366,0.209,Moderate
1380,4.08,8.17,1.6,1.02,4.99,10.0,0.01,0.331,0.805,0.398,0.442,Moderate
1381,4.97,6.44,0.76,0.33,5.24,6.91,0.77,0.0,0.597,0.0,0.095,Low
1382,8.86,5.67,0.18,3.04,3.49,6.53,0.35,1.0,0.855,0.318,0.798,High
1383,2.98,8.67,4.24,0.66,6.17,10.0,0.31,0.405,0.418,0.377,0.343,Moderate
1384,4.03,8.05,1.05,0.27,4.62,10.0,1.88,0.095,0.745,0.161,0.0,Low
1385,6.49,6.81,3.25,0.72,1.95,10.0,2.45,0.278,0.194,0.255,0.266,Moderate
1386,7.45,6.03,1.23,0.73,5.08,4.72,0.29,0.472,0.656,0.833,1.0,High
1387,0.52,8.28,0.88,1.79,3.66,5.63,0.87,0.185,0.428,0.325,0.0,Low
1388,7.79,8.8,5.87,1.89,0.5,6.47,0.72,0.132,0.182,0.445,0.0,Low
1389,2.2,9.46,0.94,0.59,6.31,7.62,0.17,0.334,0.789,0.032,0.424,Moderate
1390,11.17,6.96,0.0,0.17,2.01,10.0,0.0,1.0,0.648,0.42,1.0,High
1391,2.25,8.15,8.0,0.67,2.63,9.29,0.84,0.363,0.138,0.137,0.109,Low
